Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Datetime,,,,,
2026-04-17 13:30:00+00:00,199.89999389648438,200.88999938964844,199.75,199.8800048828125,17291546
2026-04-17 13:31:00+00:00,200.01499938964844,200.44000244140625,199.74090576171875,199.9199981689453,883226
2026-04-17 13:32:00+00:00,200.0200958251953,200.11000061035156,199.50999450683594,200.02999877929688,977901
2026-04-17 13:33:00+00:00,199.43780517578125,200.0449981689453,199.27000427246094,200.03500366210938,900881
2026-04-17 13:34:00+00:00,199.83009338378906,199.9600067138672,199.40980529785156,199.4219970703125,588302
2026-04-17 13:35:00+00:00,199.98500061035156,200.25,199.82000732421875,199.83999633789062,788092
2026-04-17 13:36:00+00:00,199.86500549316406,199.9799041748047,199.47000122070312,199.9600067138672,683563
2026-04-17 13:37:00+00:00,200.3249969482422,200.44979858398438,199.85000610351562,199.8800048828125,817686
2026-04-17 13:38:00+00:00,200.25999450683594,200.33999633789062,199.8699951171875,200.33999633789062,678588
2026-04-17 13:39:00+00:00,200.60499572753906,200.69000244140625,200.2364959716797,200.2550048828125,936759
2026-04-17 13:40:00+00:00,200.21499633789062,200.68499755859375,200.12899780273438,200.60040283203125,759668
2026-04-17 13:41:00+00:00,200.35009765625,200.4499969482422,200.11000061035156,200.2100067138672,555227
2026-04-17 13:42:00+00:00,200.15989685058594,200.38999938964844,200.11000061035156,200.36199951171875,499057
2026-04-17 13:43:00+00:00,200.25,200.42990112304688,200.05999755859375,200.16000366210938,591693
2026-04-17 13:44:00+00:00,200.4698944091797,200.57000732421875,200.14999389648438,200.25100708007812,1501143
2026-04-17 13:45:00+00:00,200.75,200.94500732421875,200.4250030517578,200.47000122070312,1026522
2026-04-17 13:46:00+00:00,200.8699951171875,201.0850067138672,200.72999572753906,200.7449951171875,1319840
2026-04-17 13:47:00+00:00,200.4799041748047,200.89500427246094,200.38999938964844,200.86500549316406,618941
2026-04-17 13:48:00+00:00,200.74000549316406,200.77000427246094,200.10499572753906,200.47500610351562,744873
2026-04-17 13:49:00+00:00,201.03509521484375,201.08999633789062,200.7100067138672,200.75999450683594,783343
2026-04-17 13:50:00+00:00,200.9949951171875,201.3300018310547,200.9149932861328,201.0449981689453,960874
2026-04-17 13:51:00+00:00,201.1999969482422,201.32000732421875,200.91000366210938,200.98500061035156,544576
2026-04-17 13:52:00+00:00,201.25,201.39999389648438,201.16000366210938,201.22000122070312,657645
2026-04-17 13:53:00+00:00,201.3000030517578,201.39999389648438,201.24009704589844,201.2449951171875,433345
2026-04-17 13:54:00+00:00,201.19000244140625,201.32000732421875,200.97999572753906,201.2899932861328,598510
2026-04-17 13:55:00+00:00,200.90499877929688,201.22999572753906,200.86000061035156,201.19000244140625,479620
2026-04-17 13:56:00+00:00,200.5399932861328,200.93850708007812,200.5,200.90499877929688,530483
2026-04-17 13:57:00+00:00,200.8000030517578,200.8699951171875,200.44000244140625,200.5303955078125,597486
2026-04-17 13:58:00+00:00,200.82000732421875,200.86500549316406,200.63999938964844,200.7805938720703,378919
2026-04-17 13:59:00+00:00,201.14999389648438,201.17999267578125,200.82000732421875,200.82000732421875,581001
2026-04-17 14:00:00+00:00,201.34500122070312,201.35000610351562,201.07000732421875,201.15499877929688,526325
2026-04-17 14:01:00+00:00,201.31500244140625,201.39999389648438,201.25999450683594,201.34500122070312,421415
2026-04-17 14:02:00+00:00,201.22500610351562,201.3300018310547,201.1999969482422,201.30999755859375,443176
2026-04-17 14:03:00+00:00,201.08999633789062,201.2550048828125,201.07000732421875,201.22000122070312,462925
2026-04-17 14:04:00+00:00,201.25999450683594,201.36000061035156,201.0800018310547,201.08949279785156,474408
2026-04-17 14:05:00+00:00,201.2100067138672,201.41000366210938,201.13999938964844,201.27499389648438,789429
2026-04-17 14:06:00+00:00,201.34500122070312,201.38999938964844,201.1699981689453,201.20509338378906,377245
2026-04-17 14:07:00+00:00,201.3000946044922,201.42999267578125,201.25,201.3350067138672,491119
2026-04-17 14:08:00+00:00,201.14999389648438,201.30470275878906,201.10499572753906,201.30470275878906,352627
2026-04-17 14:09:00+00:00,201.0301055908203,201.1999969482422,201.01010131835938,201.15499877929688,1139513
2026-04-17 14:10:00+00:00,201.13009643554688,201.19000244140625,200.8800048828125,201.03030395507812,490775
2026-04-17 14:11:00+00:00,201.3350067138672,201.33999633789062,201.11000061035156,201.14990234375,637779
2026-04-17 14:12:00+00:00,201.41009521484375,201.4199981689453,201.14500427246094,201.3300018310547,474843
2026-04-17 14:13:00+00:00,201.51499938964844,201.6699981689453,201.38999938964844,201.4149932861328,1019777
2026-04-17 14:14:00+00:00,201.49000549316406,201.67999267578125,201.39999389648438,201.50999450683594,496933
2026-04-17 14:15:00+00:00,201.3404998779297,201.47000122070312,201.17999267578125,201.47000122070312,498939
2026-04-17 14:16:00+00:00,201.3000030517578,201.39979553222656,201.24000549316406,201.35000610351562,257420
2026-04-17 14:17:00+00:00,201.3000030517578,201.4499969482422,201.22000122070312,201.3000030517578,395690
2026-04-17 14:18:00+00:00,201.23980712890625,201.33999633789062,201.19000244140625,201.3000030517578,256073
