Price,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA
Datetime,,,,,
2026-04-13 13:30:00+00:00,349.0799865722656,350.489990234375,348.760009765625,349.8924865722656,2962458
2026-04-13 13:35:00+00:00,349.30499267578125,350.19000244140625,348.6600036621094,349.0799865722656,1024457
2026-04-13 13:40:00+00:00,349.7001037597656,350.05999755859375,348.57000732421875,349.25,1012545
2026-04-13 13:45:00+00:00,352.0150146484375,352.4493103027344,348.82000732421875,349.67449951171875,1357009
2026-04-13 13:50:00+00:00,354.4710998535156,354.8299865722656,351.9599914550781,352.0150146484375,1989189
2026-04-13 13:55:00+00:00,353.9200134277344,354.81829833984375,351.8599853515625,354.4519958496094,1231858
2026-04-13 14:00:00+00:00,354.54998779296875,354.57000732421875,353.2099914550781,353.92498779296875,773571
2026-04-13 14:05:00+00:00,354.6199951171875,356.3500061035156,354.07000732421875,354.54998779296875,1896741
2026-04-13 14:10:00+00:00,352.3399963378906,355.1000061035156,352.010009765625,354.6000061035156,1278666
2026-04-13 14:15:00+00:00,350.8617858886719,352.3800048828125,350.20001220703125,352.3800048828125,1177731
2026-04-13 14:20:00+00:00,351.0849914550781,351.44000244140625,350.2340087890625,350.8800048828125,869193
2026-04-13 14:25:00+00:00,351.75,351.9599914550781,350.9100036621094,351.1000061035156,696960
2026-04-13 14:30:00+00:00,351.614990234375,352.6700134277344,351.2099914550781,351.7778015136719,841505
2026-04-13 14:35:00+00:00,350.6050109863281,351.9700012207031,350.5000915527344,351.6099853515625,712362
2026-04-13 14:40:00+00:00,351.7099914550781,351.7300109863281,350.2799987792969,350.639892578125,742683
2026-04-13 14:45:00+00:00,350.989990234375,351.79998779296875,350.6099853515625,351.7099914550781,530062
2026-04-13 14:50:00+00:00,352.1099853515625,352.3699951171875,350.6099853515625,350.9649963378906,569484
2026-04-13 14:55:00+00:00,352.8399963378906,353.2749938964844,351.6300964355469,352.1050109863281,777810
2026-04-13 15:00:00+00:00,351.6300048828125,352.8999938964844,351.42999267578125,352.8299865722656,652377
2026-04-13 15:05:00+00:00,351.1672058105469,351.8699951171875,350.830810546875,351.61590576171875,549475
2026-04-13 15:10:00+00:00,350.6199951171875,351.54998779296875,350.4599914550781,351.135009765625,470636
2026-04-13 15:15:00+00:00,349.82000732421875,350.989990234375,349.7500915527344,350.625,764073
2026-04-13 15:20:00+00:00,350.3599853515625,350.69000244140625,349.7550048828125,349.8349914550781,590875
2026-04-13 15:25:00+00:00,350.3125915527344,350.6650085449219,349.7799987792969,350.340087890625,570612
2026-04-13 15:30:00+00:00,350.4750061035156,350.760009765625,349.9599914550781,350.3299865722656,395698
2026-04-13 15:35:00+00:00,351.15850830078125,351.4599914550781,350.3500061035156,350.45098876953125,548658
2026-04-13 15:40:00+00:00,350.6401062011719,351.3699951171875,350.3500061035156,351.1400146484375,424959
2026-04-13 15:45:00+00:00,350.8500061035156,351.3096008300781,350.510009765625,350.61761474609375,384554
2026-04-13 15:50:00+00:00,350.31500244140625,350.9599914550781,350.25,350.82000732421875,280125
2026-04-13 15:55:00+00:00,350.8999938964844,350.9100036621094,350.0799865722656,350.31500244140625,308680
2026-04-13 16:00:00+00:00,350.7398986816406,351.1000061035156,350.3399963378906,350.8999938964844,345117
2026-04-13 16:05:00+00:00,351.9469909667969,352.44989013671875,350.5849914550781,350.7049865722656,642904
2026-04-13 16:10:00+00:00,351.6300048828125,352.3799133300781,351.5899963378906,351.8999938964844,479438
2026-04-13 16:15:00+00:00,351.5199890136719,351.84991455078125,351.1000061035156,351.6300048828125,399785
2026-04-13 16:20:00+00:00,352.2099914550781,352.30999755859375,351.3700866699219,351.5249938964844,431173
2026-04-13 16:25:00+00:00,353.07501220703125,353.3299865722656,351.9700012207031,352.19000244140625,592813
2026-04-13 16:30:00+00:00,352.7149963378906,353.3999938964844,352.45001220703125,353.0751037597656,647056
2026-04-13 16:35:00+00:00,352.8800048828125,353.5299987792969,352.6300048828125,352.7001037597656,484592
2026-04-13 16:40:00+00:00,352.4949951171875,353.1199951171875,351.70001220703125,352.8500061035156,557482
2026-04-13 16:45:00+00:00,352.8999938964844,353.32000732421875,352.02301025390625,352.489990234375,475646
2026-04-13 16:50:00+00:00,352.4599914550781,353.3699951171875,352.42999267578125,352.9200134277344,496306
2026-04-13 16:55:00+00:00,352.8900146484375,352.94000244140625,352.051513671875,352.4599914550781,346606
2026-04-13 17:00:00+00:00,353.0050048828125,353.2799987792969,352.75,352.8949890136719,348016
2026-04-13 17:05:00+00:00,353.31500244140625,353.34991455078125,352.93499755859375,353.010009765625,370521
2026-04-13 17:10:00+00:00,353.2850036621094,353.71990966796875,352.9599914550781,353.32989501953125,483801
2026-04-13 17:15:00+00:00,353.5299987792969,353.8599853515625,353.1401062011719,353.32000732421875,472212
2026-04-13 17:20:00+00:00,353.6300048828125,353.8599853515625,353.1099853515625,353.5599060058594,558067
2026-04-13 17:25:00+00:00,354.4399108886719,354.57989501953125,353.29998779296875,353.67498779296875,700523
2026-04-13 17:30:00+00:00,354.1700134277344,354.5,353.8299865722656,354.4200134277344,428307
2026-04-13 17:35:00+00:00,354.20001220703125,354.4898986816406,353.8999938964844,354.1700134277344,488909
2026-04-13 17:40:00+00:00,354.114990234375,354.70001220703125,354.04998779296875,354.20001220703125,451676
2026-04-13 17:45:00+00:00,353.6216125488281,354.2900085449219,353.55999755859375,354.1099853515625,395637
2026-04-13 17:50:00+00:00,353.04010009765625,353.6600036621094,352.6719970703125,353.6400146484375,594238
2026-04-13 17:55:00+00:00,352.7428894042969,353.29840087890625,352.5799865722656,353.0674133300781,490734
2026-04-13 18:00:00+00:00,352.8399963378906,352.989990234375,352.6099853515625,352.7900085449219,268671
2026-04-13 18:05:00+00:00,352.91510009765625,353.04998779296875,352.6499938964844,352.8299865722656,246286
2026-04-13 18:10:00+00:00,352.80999755859375,353.04998779296875,352.6900939941406,352.92999267578125,230175
2026-04-13 18:15:00+00:00,352.0950012207031,352.8351135253906,351.875,352.8299865722656,545243
2026-04-13 18:20:00+00:00,352.2950134277344,352.3900146484375,351.8699951171875,352.0899963378906,298199
2026-04-13 18:25:00+00:00,352.1700134277344,352.3299865722656,352.04998779296875,352.2804870605469,220004
2026-04-13 18:30:00+00:00,351.57000732421875,352.2200012207031,351.239990234375,352.1650085449219,650992
2026-04-13 18:35:00+00:00,351.9150085449219,352.0,351.5,351.5199890136719,366283
2026-04-13 18:40:00+00:00,351.7550048828125,352.0199890136719,351.54998779296875,351.9263916015625,364146
2026-04-13 18:45:00+00:00,351.8100891113281,352.17999267578125,351.7200012207031,351.7699890136719,350315
2026-04-13 18:50:00+00:00,351.8599853515625,351.94989013671875,351.5199890136719,351.8109130859375,282628
2026-04-13 18:55:00+00:00,351.72119140625,352.04998779296875,351.55010986328125,351.8500061035156,258620
2026-04-13 19:00:00+00:00,351.30999755859375,352.0400085449219,351.20001220703125,351.7300109863281,365049
2026-04-13 19:05:00+00:00,351.2099914550781,351.5,350.82000732421875,351.32000732421875,552250
2026-04-13 19:10:00+00:00,350.8299865722656,351.2698974609375,350.2601013183594,351.2300109863281,473590
2026-04-13 19:15:00+00:00,350.95001220703125,351.2900085449219,350.54998779296875,350.8500061035156,391798
2026-04-13 19:20:00+00:00,351.5600891113281,351.6400146484375,350.79998779296875,350.95001220703125,468847
2026-04-13 19:25:00+00:00,351.42498779296875,351.7099914550781,351.19000244140625,351.5616149902344,479713
2026-04-13 19:30:00+00:00,351.7300109863281,352.32000732421875,351.3399963378906,351.4049987792969,590187
2026-04-13 19:35:00+00:00,351.1000061035156,351.7900085449219,351.08880615234375,351.739990234375,467033
2026-04-13 19:40:00+00:00,350.8949890136719,351.2200012207031,350.6700134277344,351.1003112792969,549323
2026-04-13 19:45:00+00:00,350.8299865722656,350.9999084472656,350.7200012207031,350.8800048828125,368290
2026-04-13 19:50:00+00:00,352.0199890136719,352.2099914550781,350.82000732421875,350.82000732421875,879559
2026-04-13 19:55:00+00:00,352.4049987792969,352.739990234375,352.07000732421875,352.1199951171875,1573754
2026-04-14 13:30:00+00:00,359.7850036621094,361.29998779296875,354.7699890136719,357.3550109863281,4513787
2026-04-14 13:35:00+00:00,356.8399963378906,360.0,356.7099914550781,359.8299865722656,1497514
2026-04-14 13:40:00+00:00,358.4949951171875,359.7300109863281,356.82000732421875,356.8799133300781,1325972
2026-04-14 13:45:00+00:00,360.8399963378906,360.909912109375,358.3599853515625,358.489990234375,1389835
2026-04-14 13:50:00+00:00,359.8699951171875,361.17999267578125,359.57000732421875,360.7770080566406,1140803
2026-04-14 13:55:00+00:00,358.9549865722656,359.8999938964844,358.45001220703125,359.8900146484375,818118
2026-04-14 14:00:00+00:00,358.3476867675781,359.6300048828125,358.25,358.94000244140625,798975
2026-04-14 14:05:00+00:00,359.5899963378906,359.75,357.8699951171875,358.3869934082031,911654
2026-04-14 14:10:00+00:00,359.4200134277344,359.9700012207031,359.0199890136719,359.5899963378906,668043
2026-04-14 14:15:00+00:00,359.6300048828125,360.20001220703125,358.94000244140625,359.42999267578125,835190
2026-04-14 14:20:00+00:00,362.54998779296875,362.75,359.5400085449219,359.6400146484375,1461590
2026-04-14 14:25:00+00:00,362.989990234375,363.20001220703125,361.6499938964844,362.5799865722656,1363563
2026-04-14 14:30:00+00:00,362.5400085449219,363.07989501953125,362.2962951660156,362.9800109863281,923707
2026-04-14 14:35:00+00:00,362.010009765625,363.3680114746094,361.69000244140625,362.5400085449219,1075115
2026-04-14 14:40:00+00:00,362.18499755859375,362.32000732421875,361.5299987792969,362.010009765625,546889
2026-04-14 14:45:00+00:00,363.2395935058594,363.30999755859375,361.9298095703125,362.18499755859375,781292
