Date,Close,High,Low,Open,Volume
2026-04-17 13:30:00+00:00,394.6400146484375,396.4989929199219,392.5,395.9200134277344,4146770
2026-04-17 13:31:00+00:00,397.0,399.0499877929688,394.55999755859375,394.5899963378906,896523
2026-04-17 13:32:00+00:00,393.8499145507813,397.4898986816406,393.6099853515625,397.0400085449219,490971
2026-04-17 13:33:00+00:00,392.3399963378906,393.8999938964844,391.6499938964844,393.8399963378906,447155
2026-04-17 13:34:00+00:00,392.76959228515625,394.05999755859375,392.1499938964844,392.2950134277344,389294
2026-04-17 13:35:00+00:00,393.6600036621094,394.1300048828125,392.2200012207031,392.75,280500
2026-04-17 13:36:00+00:00,393.6700134277344,393.7879943847656,392.9700012207031,393.6199951171875,230636
2026-04-17 13:37:00+00:00,394.4500122070313,394.7900085449219,393.4002075195313,393.7199096679688,351981
2026-04-17 13:38:00+00:00,394.37451171875,394.55999755859375,393.1400146484375,394.4500122070313,288896
2026-04-17 13:39:00+00:00,393.9059143066406,394.4700012207031,393.5499877929688,394.3550109863281,176135
2026-04-17 13:40:00+00:00,393.6900024414063,394.2699890136719,393.5860900878906,393.9194030761719,177939
2026-04-17 13:41:00+00:00,394.2200012207031,394.5499877929688,393.489990234375,393.6900024414063,260509
2026-04-17 13:42:00+00:00,395.1199951171875,395.75,394.1000061035156,394.2799987792969,364059
2026-04-17 13:43:00+00:00,395.9450073242188,396.1636962890625,394.2701110839844,395.1199951171875,419205
2026-04-17 13:44:00+00:00,394.95220947265625,396.0,394.9500122070313,395.9450073242188,262217
2026-04-17 13:45:00+00:00,396.6950073242188,396.7799987792969,394.989990234375,395.0400085449219,338217
2026-04-17 13:46:00+00:00,397.2950134277344,398.1300048828125,396.7099914550781,396.760009765625,646214
2026-04-17 13:47:00+00:00,395.3500061035156,397.4294128417969,394.6099853515625,397.25,447222
2026-04-17 13:48:00+00:00,395.0799865722656,395.5499877929688,394.1099853515625,395.30999755859375,312723
2026-04-17 13:49:00+00:00,395.6449890136719,396.3299865722656,395.0650024414063,395.1068115234375,324699
2026-04-17 13:50:00+00:00,396.0849914550781,396.8299865722656,395.0,395.6900024414063,318350
2026-04-17 13:51:00+00:00,396.8800048828125,397.0899963378906,395.7900085449219,396.0700988769531,276558
2026-04-17 13:52:00+00:00,396.2200012207031,397.1000061035156,395.7900085449219,396.9197998046875,275652
2026-04-17 13:53:00+00:00,396.4549865722656,397.0499877929688,395.8599853515625,396.2099914550781,202587
